Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Export,2018,Dairy,Cream,576.07
Export,2018,Cereals,Cheese,994.23
Export,2018,Dairy,Butter,163.7
Export,2018,Cereals,Oats,36.81
Export,2018,Dairy,Soybeans,549.81
Export,2018,Cereals,Wheat,998.57
Export,2019,Dairy,Cream,326.99
Export,2019,Cereals,Cheese,135.65
Export,2019,Dairy,Butter,613.18
Export,2019,Cereals,Oats,74.65
Export,2019,Dairy,Soybeans,331.82
Export,2019,Cereals,Wheat,163.59
Export,2018,Dairy,Cream,557.88
Export,2018,Cereals,Cheese,247.54
Export,2018,Dairy,Butter,25.56
Export,2018,Cereals,Oats,90.99
Export,2018,Dairy,Soybeans,572.15
Export,2018,Cereals,Wheat,158.4
