Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2017,Q3,Drowning,Fatal,36.55
Female,2017,Q3,Fire,Serious,72.36
Female,2018,Q1,Drowning,Fatal,42.52
Female,2018,Q1,Fire,Serious,74.81
Female,2021,Q3,Drowning,Fatal,28.21
Female,2021,Q3,Fire,Serious,60.17
Female,2017,Q1,Drowning,Fatal,45.39
Female,2017,Q1,Fire,Serious,45.71
Female,2018,Q3,Drowning,Fatal,24.58
Female,2018,Q3,Fire,Serious,89.91
Female,2021,Q1,Drowning,Fatal,27.07
Female,2021,Q1,Fire,Serious,60.71
