Polluted element,Type of pollution,Maryland_Columbia,Maryland_Portland,Oregon_Baltimore,Oregon_Redmond,Average
Air,Inorganic Fertilizers,-38.04,47.65,-55.06,7.75,-9.43
,Light,96.99,52.18,77.03,12.43,59.66
,Solid Waste,-14.37,-62.41,85.04,-86.06,-19.45
,Surface water,-30.22,57.66,80.31,21.98,32.43
Soil,Chemical,98.25,-71.05,79.70,16.30,30.80
,Oxygen-depletion,-20.33,60.64,84.62,-90.87,8.52
,Solid Waste,-39.40,-83.46,67.61,2.68,-13.14
,Thermal,93.93,50.36,-52.22,11.63,25.93
Water,Groundwater,-28.60,60.71,-46.94,-98.82,-28.41
,Inorganic Fertilizers,-5.80,67.42,-42.40,44.10,15.83
,Noise,-31.50,-73.25,-51.58,11.71,-36.15
,Urban Activities,-37.55,-81.43,74.94,9.38,-8.67
