Quarter,Month,Production_Administration,Production_House,Production_Workshop,Residential_Apartment,Residential_Hospital,Service_Factory,Service_School,State,City
Q1,,65.91,73.63,5.29,85.98,35.52,21.50,76.39,,
,  April,65.91,94.36,5.29,85.98,35.52,21.50,76.39,Minnesota,Rochester
,  January,69.18,97.84,8.34,88.78,41.61,26.89,79.96,Minnesota,Hastings
,  July,73.28,73.63,16.06,89.18,54.24,31.40,80.71,Minnesota,Rochester
Q2,,60.50,91.88,7.03,84.39,33.87,18.97,75.89,,
,  February,69.09,94.87,7.03,85.51,34.35,25.92,78.22,Minnesota,Rochester
,  July,60.50,91.88,77.66,84.39,33.87,18.97,75.89,Minnesota,Hastings
,  September,68.52,99.93,11.33,84.44,53.31,30.76,81.37,Minnesota,Hastings
Q3,,55.94,92.13,0.88,83.88,33.28,17.07,74.18,,
,  June,68.78,94.15,5.63,85.89,34.58,23.86,77.15,Minnesota,Hastings
,  March,68.95,96.97,7.97,89.19,48.03,27.19,80.37,Minnesota,Rochester
,  September,55.94,92.13,0.88,83.88,33.28,17.07,74.18,Minnesota,Rochester
