Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Factory,Q1,February,3.99
Production,Factory,Q2,March,12.45
Production,Factory,Q3,April,14.63
Production,Factory,Q1,May,18.57
Production,Factory,Q2,July,18.13
Production,Factory,Q3,August,24.75
Production,Factory,Q1,September,26.38
Production,Factory,Q2,February,31.91
Production,Factory,Q3,March,31.06
Service,Workshop,Q1,February,36.49
Service,Workshop,Q2,March,39.08
Service,Workshop,Q3,April,42.74
Service,Workshop,Q1,May,43.1
Service,Workshop,Q2,July,44.02
Service,Workshop,Q3,August,42.48
Service,Workshop,Q1,September,45.56
Service,Workshop,Q2,February,47.45
Service,Workshop,Q3,March,51.66
Production,Administration,Q1,February,52.44
Production,Administration,Q2,March,53.1
Production,Administration,Q3,April,51.31
Production,Administration,Q1,May,51.01
Production,Administration,Q2,July,53.8
Production,Administration,Q3,August,57.91
Production,Administration,Q1,September,58.33
Production,Administration,Q2,February,54.79
Production,Administration,Q3,March,58.46
Service,Library,Q1,February,61.23
Service,Library,Q2,March,61.61
Service,Library,Q3,April,58.61
Service,Library,Q1,May,68.77
Service,Library,Q2,July,68.93
Service,Library,Q3,August,70.4
Service,Library,Q1,September,72.76
Service,Library,Q2,February,75.08
Service,Library,Q3,March,78.01
Production,School,Q1,February,85.89
Production,School,Q2,March,85.95
Production,School,Q3,April,87.77
Production,School,Q1,May,85.61
Production,School,Q2,July,85.63
Production,School,Q3,August,85.31
Production,School,Q1,September,91.34
Production,School,Q2,February,91.76
Production,School,Q3,March,89.84
