Characteristic,Intensity,2016_Oregon_Chicago,2016_Oregon_Hastings,2016_Oregon_Redmond,2018_Illinois_Portland,2018_Illinois_Rochester,2018_Illinois_Springfield,2020_Minnesota_Champaign,2020_Minnesota_Minneapolis,2020_Minnesota_Salem
Humidity,,23.53,25.67,22.05,7.77,26.59,7.81,16.84,17.07,17.37
,  21-30,22.07,25.67,15.03,7.77,26.59,7.81,16.84,17.07,7.70
,  31-40,20.31,19.35,22.05,3.30,24.87,2.05,6.85,3.61,9.59
,  Low,23.53,7.97,2.49,1.55,25.64,3.59,11.25,13.18,17.37
Temperature,,21.22,23.72,21.80,7.90,27.57,7.20,16.61,13.39,19.23
,  21-30,19.37,19.50,21.80,7.90,21.68,1.76,10.05,8.89,8.02
,  Calm,17.96,23.72,0.04,5.48,27.57,7.20,16.61,3.25,19.23
,  Medium,21.22,7.79,1.49,4.62,22.00,4.80,13.57,13.39,15.27
Wind,,27.36,19.47,22.13,8.20,27.76,6.94,18.89,18.57,20.13
,  11-20,21.46,19.47,22.13,3.80,27.76,3.70,12.80,11.86,2.70
,  31-40,27.36,1.01,4.43,8.20,27.05,6.94,18.89,18.57,20.13
,  Storm,23.33,1.40,8.63,0.66,25.46,6.92,15.81,14.14,19.69
Maximum,,27.36,25.67,22.13,8.20,27.76,7.81,18.89,18.57,20.13
,  ,27.36,25.67,22.13,8.20,27.76,7.81,18.89,18.57,20.13
