Polluted element,Type of pollution,Florida_Aberdeen_2019,Florida_Albany_2019,Florida_Tampa_2019,Georgia_Columbia_2022,Georgia_Columbus_2022,Maryland_Fort Lauderdale_2016,Maryland_Washington_2016,Average
Air,Groundwater,84.16,-14.60,18.18,63.18,-49.16,42.27,-96.65,6.77
,Industrial,81.99,-22.61,10.15,59.98,-53.01,38.78,-96.86,2.63
,Light,84.62,-22.35,15.96,61.45,-53.30,42.86,-42.35,12.41
Soil,Chemical,85.30,-12.15,21.12,63.94,-44.14,43.68,-1.22,22.36
,Inferior Irrigation,82.63,-17.26,12.62,60.69,-52.18,-5.78,-96.72,-2.29
,Thermal,89.39,-14.60,19.37,62.01,-50.50,43.07,-41.91,15.26
Water,Noise,35.13,-12.60,22.39,66.51,-49.59,46.91,-37.19,10.22
,Oxygen-depletion,88.97,-9.44,26.66,67.18,-44.70,48.31,-76.14,14.41
,Surface water,83.06,-15.33,12.80,60.32,-49.74,38.36,-94.63,4.98
Average,,79.47,-15.66,17.69,62.81,-49.59,37.61,-64.85,9.64
