Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Temperature,11-20,0.26
2019,Wind,31-40,1.99
2019,Humidity,Breeze,2.02
2019,Temperature,Storm,3.65
2019,Wind,Calm,5.41
2019,Humidity,High,8.66
2019,Temperature,Low,10.42
2019,Wind,11-20,12.87
2019,Humidity,31-40,13.94
2018,Temperature,11-20,13.31
2018,Wind,31-40,15.87
2018,Humidity,Breeze,16.87
2018,Temperature,Storm,16.71
2018,Wind,Calm,19.89
2018,Humidity,High,19.32
2018,Temperature,Low,20.72
2018,Wind,11-20,20.3
2018,Humidity,31-40,22.05
2021,Temperature,11-20,22.97
2021,Wind,31-40,24.66
2021,Humidity,Breeze,25.11
2021,Temperature,Storm,22.43
2021,Wind,Calm,27.25
2021,Humidity,High,23.7
2021,Temperature,Low,23.17
2021,Wind,11-20,23.56
2021,Humidity,31-40,24.5
