Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Import,2015,Q2,Meat,Duck,643.52
Import,2015,Q2,Dairy,Pork,19.08
Import,2015,Q2,Meat,Camel,281.32
Import,2015,Q2,Dairy,Milk,539.37
Import,2015,Q2,Meat,Cream,284.89
Import,2015,Q2,Dairy,Duck,925.96
Import,2020,Q2,Meat,Duck,29.1
Import,2020,Q2,Dairy,Pork,283.62
Import,2020,Q2,Meat,Camel,937.1
Import,2020,Q2,Dairy,Milk,813.76
Import,2020,Q2,Meat,Cream,430.52
Import,2020,Q2,Dairy,Duck,51.38
Import,2018,Q2,Meat,Duck,309.51
Import,2018,Q2,Dairy,Pork,183.18
Import,2018,Q2,Meat,Camel,441.61
Import,2018,Q2,Dairy,Milk,201.99
Import,2018,Q2,Meat,Cream,588.16
Import,2018,Q2,Dairy,Duck,334.29
Import,2015,Q2,Meat,Duck,80.51
Import,2015,Q2,Dairy,Pork,983.85
Import,2015,Q2,Meat,Camel,856.85
Import,2015,Q2,Dairy,Milk,733.35
Import,2015,Q2,Meat,Cream,353.08
Import,2015,Q2,Dairy,Duck,99.73
Import,2020,Q2,Meat,Duck,869.71
Import,2020,Q2,Dairy,Pork,230.61
Import,2020,Q2,Meat,Camel,618.06
Import,2020,Q2,Dairy,Milk,116.67
Import,2020,Q2,Meat,Cream,502.52
Import,2020,Q2,Dairy,Duck,759.58
