Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Administration,Q2,June,0.44
Service,Administration,Q4,April,8.64
Service,Administration,Q2,December,9.38
Service,Administration,Q4,October,11.1
Residential,Library,Q2,June,15.98
Residential,Library,Q4,April,15.47
Residential,Library,Q2,December,18.72
Residential,Library,Q4,October,20.31
Production,School,Q2,June,21.62
Production,School,Q4,April,23.56
Production,School,Q2,December,24.54
Production,School,Q4,October,24.22
Service,House,Q2,June,26.85
Service,House,Q4,April,25.43
Service,House,Q2,December,28.34
Service,House,Q4,October,23.83
Residential,Hotel,Q2,June,40.87
Residential,Hotel,Q4,April,45.77
Residential,Hotel,Q2,December,48.52
Residential,Hotel,Q4,October,56.77
Production,Apartment,Q2,June,57.57
Production,Apartment,Q4,April,58.16
Production,Apartment,Q2,December,59.31
Production,Apartment,Q4,October,65.19
Service,Workshop,Q2,June,70.53
Service,Workshop,Q4,April,72.54
Service,Workshop,Q2,December,72.81
Service,Workshop,Q4,October,76.9
Residential,Factory,Q2,June,77.68
Residential,Factory,Q4,April,83.39
Residential,Factory,Q2,December,87.53
Residential,Factory,Q4,October,88.31
