Characteristic,Intensity,2018_Georgia_Las Vegas,2018_Massachusetts_Boston,2018_Nevada_Washington,2020_Georgia_Cambridge,2020_Massachusetts_Columbus,2020_Nevada_Boulder City
Humidity,,12.87,20.97,27.15,16.91,24.24,6.74
,  0-10,10.39,20.97,26.19,16.91,24.24,6.74
,  Low,4.66,5.86,27.09,11.03,16.92,0.12
,  Storm,12.87,19.66,27.15,4.42,21.52,3.91
Temperature,,17.94,22.41,27.87,16.74,24.37,6.82
,  31-40,9.19,20.79,27.87,3.21,15.00,4.63
,  Low,17.94,22.41,10.69,16.74,24.37,6.82
,  Medium,9.02,6.86,24.38,0.71,20.03,1.40
Wind,,16.21,22.97,27.65,16.34,25.03,5.57
,  11-20,16.21,22.97,6.85,16.34,25.03,5.57
,  Breeze,12.62,7.78,22.90,14.18,20.62,4.46
,  High,10.97,5.05,27.65,12.85,19.43,1.11
