Polluted element,Type of pollution,Georgia_Albany_2018,Georgia_Springfield_2021,Illinois_Chicago_2018,Illinois_Columbus_2016
Air,Chemical,22.83,83.62,-16.66,-14.05
,Noise,12.87,80.88,-23.58,-79.00
,Solid Waste,-93.10,88.01,-17.01,-74.42
Soil,Light,28.43,-46.10,-19.49,50.14
,Oxygen-depletion,-40.23,84.49,-15.18,-75.59
,Urban Activities,-92.90,-34.05,-16.81,-72.52
Water,Groundwater,11.00,79.11,-24.91,48.96
,Surface water,-41.89,16.43,-5.09,-15.40
,Thermal,-99.38,-43.42,-18.20,51.70
Average,,-32.49,34.33,-17.44,-20.02
