Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Wind,Storm,0.31
2015,Humidity,Calm,2.47
2015,Temperature,Breeze,3.06
2015,Wind,High,4.19
2015,Humidity,Low,5.66
2015,Temperature,Medium,8.93
2015,Wind,11-20,9.21
2015,Humidity,21-30,8.42
2015,Temperature,Storm,11.18
2020,Wind,Storm,9.7
2020,Humidity,Calm,13.46
2020,Temperature,Breeze,14.51
2020,Wind,High,15.5
2020,Humidity,Low,13.8
2020,Temperature,Medium,17.39
2020,Wind,11-20,18.95
2020,Humidity,21-30,15.31
2020,Temperature,Storm,22.61
2021,Wind,Storm,23.27
2021,Humidity,Calm,24.05
2021,Temperature,Breeze,25.27
2021,Wind,High,26.79
2021,Humidity,Low,24.97
2021,Temperature,Medium,23.99
2021,Wind,11-20,26.63
2021,Humidity,21-30,26.96
2021,Temperature,Storm,0.1
