Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Humidity,Low,5.46
2020,Wind,High,5.29
2020,Temperature,Medium,7.1
2020,Humidity,Calm,8.98
2020,Wind,Storm,9.47
2020,Temperature,0-10,10.97
2020,Humidity,11-20,6.0
2020,Wind,21-30,12.54
2020,Temperature,Low,13.04
2018,Humidity,Low,5.8
2018,Wind,High,16.64
2018,Temperature,Medium,17.86
2018,Humidity,Calm,21.93
2018,Wind,Storm,22.32
2018,Temperature,0-10,24.09
2018,Humidity,11-20,25.04
2018,Wind,21-30,26.39
2018,Temperature,Low,5.2
