Quarter,Month,Production_Library,Production_Workshop,Residential_Apartment,Residential_School,Service_Factory,Service_House,State,City
Q1,,46.87,86.38,7.92,62.70,77.85,27.08,,
,  December,46.87,86.38,7.92,62.70,77.85,27.08,Oregon,Salem
,  February,49.44,91.37,14.03,69.98,80.86,29.51,Massachusetts,Boston
,  September,53.01,95.28,20.17,72.07,81.62,36.03,Oregon,Salem
Q3,,46.81,88.96,8.19,64.85,72.29,28.20,,
,  August,56.67,96.11,22.63,74.66,84.41,40.59,Massachusetts,Boston
,  March,51.95,93.64,17.61,72.94,79.33,28.20,Oregon,Salem
,  November,46.81,88.96,8.19,64.85,72.29,28.38,Massachusetts,Boston
Q4,,45.50,79.35,3.65,58.05,76.03,26.28,,
,  January,49.68,90.96,14.27,64.65,79.95,28.33,Oregon,Salem
,  July,51.12,94.89,17.10,72.80,82.98,32.51,Massachusetts,Boston
,  October,45.50,79.35,3.65,58.05,76.03,26.28,Massachusetts,Boston
Minimum,,45.50,79.35,3.65,58.05,72.29,26.28,,
,  ,45.50,79.35,3.65,58.05,72.29,26.28,,
