Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Service,Administration,Q2,June,Illinois,Springfield,2.69
Service,Administration,Q3,May,Georgia,Columbus,5.09
Service,Administration,Q2,August,Illinois,Springfield,6.44
Service,Administration,Q3,July,Georgia,Columbus,7.08
Service,Administration,Q2,September,Illinois,Springfield,7.21
Service,Administration,Q3,June,Georgia,Columbus,14.34
Culture,Library,Q2,June,Illinois,Springfield,16.47
Culture,Library,Q3,May,Georgia,Columbus,21.82
Culture,Library,Q2,August,Illinois,Springfield,23.69
Culture,Library,Q3,July,Georgia,Columbus,30.47
Culture,Library,Q2,September,Illinois,Springfield,30.9
Culture,Library,Q3,June,Georgia,Columbus,35.85
Service,Hospital,Q2,June,Illinois,Springfield,39.78
Service,Hospital,Q3,May,Georgia,Columbus,42.92
Service,Hospital,Q2,August,Illinois,Springfield,43.72
Service,Hospital,Q3,July,Georgia,Columbus,43.8
Service,Hospital,Q2,September,Illinois,Springfield,46.99
Service,Hospital,Q3,June,Georgia,Columbus,49.57
Culture,Concert,Q2,June,Illinois,Springfield,52.65
Culture,Concert,Q3,May,Georgia,Columbus,52.4
Culture,Concert,Q2,August,Illinois,Springfield,54.59
Culture,Concert,Q3,July,Georgia,Columbus,54.71
Culture,Concert,Q2,September,Illinois,Springfield,54.5
Culture,Concert,Q3,June,Georgia,Columbus,58.83
Service,Theatre,Q2,June,Illinois,Springfield,60.85
Service,Theatre,Q3,May,Georgia,Columbus,63.93
Service,Theatre,Q2,August,Illinois,Springfield,68.12
Service,Theatre,Q3,July,Georgia,Columbus,68.44
Service,Theatre,Q2,September,Illinois,Springfield,70.56
Service,Theatre,Q3,June,Georgia,Columbus,73.5
Culture,Museum,Q2,June,Illinois,Springfield,75.63
Culture,Museum,Q3,May,Georgia,Columbus,87.35
Culture,Museum,Q2,August,Illinois,Springfield,87.44
Culture,Museum,Q3,July,Georgia,Columbus,90.77
Culture,Museum,Q2,September,Illinois,Springfield,92.85
Culture,Museum,Q3,June,Georgia,Columbus,99.19
