Polluted element,Type of pollution,Florida_Reno_2022,Florida_Tampa_2017,Nevada_Boulder City_2017,Nevada_Fort Lauderdale_2019
Air,Chemical,41.49,-41.00,7.65,67.67
,Inorganic Fertilizers,-80.72,-16.67,27.49,71.32
,Noise,-73.23,-13.61,-95.05,-49.23
,Oxygen-depletion,59.10,-4.19,41.06,-46.13
Soil,Groundwater,58.69,-7.07,-88.73,82.68
,Industrial,-80.64,92.94,20.31,-59.64
,Inferior Irrigation,52.41,-15.34,32.26,-53.85
,Oxygen-depletion,43.97,86.33,5.77,-64.23
Water,Groundwater,-86.12,-45.93,2.00,-67.04
,Surface water,-82.61,86.57,16.18,69.48
,Thermal,58.73,-11.58,-90.11,-47.98
,Urban Activities,-77.85,-16.44,27.02,74.80
