Characteristic,Intensity,2016_Georgia_Baltimore,2016_Maryland_Washington,2016_Nevada_Boulder City,2017_Georgia_Reno,2017_Maryland_Aberdeen,2017_Nevada_Columbus,Maximum
Humidity,,14.99,27.66,19.75,14.73,5.87,26.44,27.66
,  Calm,9.37,27.66,4.80,2.19,2.93,19.24,27.66
,  Low,14.99,26.71,19.75,5.15,5.87,23.51,26.71
,  Storm,3.08,26.45,3.06,14.73,4.08,26.44,26.45
Temperature,,17.52,26.02,23.49,4.02,4.95,27.14,27.14
,  0-10,14.90,26.02,7.87,4.02,4.95,20.33,26.02
,  Breeze,6.72,5.17,5.56,3.28,3.29,21.61,21.61
,  Calm,17.52,7.92,23.49,3.63,3.73,27.14,27.14
Wind,,13.25,26.91,20.64,14.46,7.40,25.51,26.91
,  31-40,13.14,26.91,20.64,14.46,7.40,25.51,26.91
,  High,13.25,25.92,2.33,10.03,4.20,20.36,25.92
,  Storm,5.61,26.79,4.64,8.18,1.30,19.90,26.79
Maximum,,17.52,27.66,23.49,14.73,7.40,27.14,27.66
,  ,17.52,27.66,23.49,14.73,7.40,27.14,27.66
