Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Production,Factory,Q2,May,Illinois,Champaign,2.98
Production,Factory,Q4,April,Illinois,Chicago,2.32
Production,Factory,Q1,December,Illinois,Champaign,12.3
Production,Factory,Q2,October,Illinois,Chicago,15.53
Production,Factory,Q4,November,Illinois,Champaign,17.7
Production,Factory,Q1,February,Illinois,Chicago,18.14
Production,Factory,Q2,March,Illinois,Champaign,19.82
Production,Factory,Q4,May,Illinois,Chicago,22.36
Production,Factory,Q1,April,Illinois,Champaign,24.49
Culture,Workshop,Q2,May,Illinois,Champaign,29.13
Culture,Workshop,Q4,April,Illinois,Chicago,29.88
Culture,Workshop,Q1,December,Illinois,Champaign,31.87
Culture,Workshop,Q2,October,Illinois,Chicago,34.6
Culture,Workshop,Q4,November,Illinois,Champaign,37.13
Culture,Workshop,Q1,February,Illinois,Chicago,37.04
Culture,Workshop,Q2,March,Illinois,Champaign,39.85
Culture,Workshop,Q4,May,Illinois,Chicago,40.21
Culture,Workshop,Q1,April,Illinois,Champaign,37.64
Production,Concert,Q2,May,Illinois,Champaign,42.77
Production,Concert,Q4,April,Illinois,Chicago,43.4
Production,Concert,Q1,December,Illinois,Champaign,44.54
Production,Concert,Q2,October,Illinois,Chicago,41.01
Production,Concert,Q4,November,Illinois,Champaign,44.02
Production,Concert,Q1,February,Illinois,Chicago,48.54
Production,Concert,Q2,March,Illinois,Champaign,48.61
Production,Concert,Q4,May,Illinois,Chicago,51.22
Production,Concert,Q1,April,Illinois,Champaign,52.23
Culture,Museum,Q2,May,Illinois,Champaign,53.09
Culture,Museum,Q4,April,Illinois,Chicago,55.05
Culture,Museum,Q1,December,Illinois,Champaign,56.9
Culture,Museum,Q2,October,Illinois,Chicago,62.11
Culture,Museum,Q4,November,Illinois,Champaign,65.05
Culture,Museum,Q1,February,Illinois,Chicago,70.42
Culture,Museum,Q2,March,Illinois,Champaign,71.24
Culture,Museum,Q4,May,Illinois,Chicago,72.04
Culture,Museum,Q1,April,Illinois,Champaign,74.41
Production,Theatre,Q2,May,Illinois,Champaign,80.26
Production,Theatre,Q4,April,Illinois,Chicago,82.17
Production,Theatre,Q1,December,Illinois,Champaign,83.48
Production,Theatre,Q2,October,Illinois,Chicago,82.56
Production,Theatre,Q4,November,Illinois,Champaign,85.83
Production,Theatre,Q1,February,Illinois,Chicago,86.51
Production,Theatre,Q2,March,Illinois,Champaign,87.52
Production,Theatre,Q4,May,Illinois,Chicago,94.83
Production,Theatre,Q1,April,Illinois,Champaign,95.88
