Polluted element,Type of pollution,California_Hastings,California_Malibu,California_Redmond,Minnesota_Berkeley,Minnesota_Portland,Oregon_Los-Angeles,Oregon_Rochester,Oregon_Salem
Air,,-12.77,-92.23,30.43,-67.64,60.72,91.24,-37.07,16.68
,  Inorganic Fertilizers,-12.65,-92.01,30.21,-67.97,63.93,91.29,-37.74,14.17
,  Noise,-11.16,-91.88,33.49,-64.42,63.95,92.76,-33.55,20.48
,  Oxygen-depletion,-14.51,-92.81,27.59,-70.53,54.28,89.67,-39.93,15.39
Soil,,-17.79,-77.88,28.59,-73.77,52.81,88.60,-42.17,11.23
,  Chemical,-13.67,-91.67,29.91,-69.61,55.04,89.37,-38.82,15.58
,  Inferior Irrigation,-19.89,-46.17,28.64,-74.67,53.39,88.76,-41.06,11.20
,  Solid Waste,-19.80,-95.80,27.23,-77.04,50.00,87.66,-46.62,6.92
Water,,-15.16,-93.22,31.13,-70.91,57.56,90.09,-39.14,14.08
,  Surface water,-16.18,-94.17,28.53,-77.25,53.03,87.16,-42.61,11.56
,  Thermal,-14.88,-92.54,33.14,-64.63,58.84,92.73,-34.73,17.71
,  Urban Activities,-14.40,-92.95,31.71,-70.86,60.80,90.39,-40.07,12.96
