Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Wind,Calm,1.92
2016,Humidity,Storm,1.65
2016,Temperature,Breeze,3.33
2016,Wind,Medium,3.28
2016,Humidity,Low,4.33
2016,Temperature,High,1.01
2016,Wind,21-30,10.59
2016,Humidity,0-10,11.8
2016,Temperature,Calm,12.65
2019,Wind,Calm,11.12
2019,Humidity,Storm,14.66
2019,Temperature,Breeze,15.28
2019,Wind,Medium,15.51
2019,Humidity,Low,14.14
2019,Temperature,High,18.2
2019,Wind,21-30,13.38
2019,Humidity,0-10,20.88
2019,Temperature,Calm,20.73
2020,Wind,Calm,22.01
2020,Humidity,Storm,23.61
2020,Temperature,Breeze,24.14
2020,Wind,Medium,22.58
2020,Humidity,Low,26.66
2020,Temperature,High,22.65
2020,Wind,21-30,25.39
2020,Humidity,0-10,23.23
2020,Temperature,Calm,26.67
