Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Culture,Museum,Q2,April,Michigan,Detroit,0.36
Culture,Museum,Q4,May,Oregon,Portland,2.51
Culture,Museum,Q3,December,Michigan,Detroit,4.8
Culture,Museum,Q2,October,Oregon,Portland,4.77
Culture,Museum,Q4,August,Michigan,Detroit,6.24
Culture,Museum,Q3,September,Oregon,Portland,4.37
Culture,Museum,Q2,July,Michigan,Detroit,6.2
Culture,Museum,Q4,April,Oregon,Portland,5.86
Culture,Museum,Q3,May,Michigan,Detroit,10.34
Residential,Concert,Q2,April,Michigan,Detroit,10.5
Residential,Concert,Q4,May,Oregon,Portland,12.75
Residential,Concert,Q3,December,Michigan,Detroit,10.55
Residential,Concert,Q2,October,Oregon,Portland,14.33
Residential,Concert,Q4,August,Michigan,Detroit,15.45
Residential,Concert,Q3,September,Oregon,Portland,15.79
Residential,Concert,Q2,July,Michigan,Detroit,17.73
Residential,Concert,Q4,April,Oregon,Portland,16.48
Residential,Concert,Q3,May,Michigan,Detroit,14.28
Service,Theatre,Q2,April,Michigan,Detroit,22.87
Service,Theatre,Q4,May,Oregon,Portland,27.78
Service,Theatre,Q3,December,Michigan,Detroit,27.12
Service,Theatre,Q2,October,Oregon,Portland,29.17
Service,Theatre,Q4,August,Michigan,Detroit,31.73
Service,Theatre,Q3,September,Oregon,Portland,31.7
Service,Theatre,Q2,July,Michigan,Detroit,35.9
Service,Theatre,Q4,April,Oregon,Portland,36.51
Service,Theatre,Q3,May,Michigan,Detroit,36.37
Culture,Apartment,Q2,April,Michigan,Detroit,35.58
Culture,Apartment,Q4,May,Oregon,Portland,39.58
Culture,Apartment,Q3,December,Michigan,Detroit,40.31
Culture,Apartment,Q2,October,Oregon,Portland,41.16
Culture,Apartment,Q4,August,Michigan,Detroit,44.41
Culture,Apartment,Q3,September,Oregon,Portland,46.83
Culture,Apartment,Q2,July,Michigan,Detroit,47.64
Culture,Apartment,Q4,April,Oregon,Portland,47.05
Culture,Apartment,Q3,May,Michigan,Detroit,52.37
Residential,Hotel,Q2,April,Michigan,Detroit,53.62
Residential,Hotel,Q4,May,Oregon,Portland,55.21
Residential,Hotel,Q3,December,Michigan,Detroit,56.83
Residential,Hotel,Q2,October,Oregon,Portland,57.25
Residential,Hotel,Q4,August,Michigan,Detroit,55.05
Residential,Hotel,Q3,September,Oregon,Portland,56.16
Residential,Hotel,Q2,July,Michigan,Detroit,60.29
Residential,Hotel,Q4,April,Oregon,Portland,61.64
Residential,Hotel,Q3,May,Michigan,Detroit,62.6
Service,School,Q2,April,Michigan,Detroit,62.99
Service,School,Q4,May,Oregon,Portland,61.43
Service,School,Q3,December,Michigan,Detroit,65.9
Service,School,Q2,October,Oregon,Portland,62.73
Service,School,Q4,August,Michigan,Detroit,61.17
Service,School,Q3,September,Oregon,Portland,69.17
Service,School,Q2,July,Michigan,Detroit,70.41
Service,School,Q4,April,Oregon,Portland,71.33
Service,School,Q3,May,Michigan,Detroit,71.72
Culture,Administration,Q2,April,Michigan,Detroit,70.95
Culture,Administration,Q4,May,Oregon,Portland,74.31
Culture,Administration,Q3,December,Michigan,Detroit,76.58
Culture,Administration,Q2,October,Oregon,Portland,78.3
Culture,Administration,Q4,August,Michigan,Detroit,78.03
Culture,Administration,Q3,September,Oregon,Portland,83.37
Culture,Administration,Q2,July,Michigan,Detroit,84.11
Culture,Administration,Q4,April,Oregon,Portland,85.17
Culture,Administration,Q3,May,Michigan,Detroit,88.13
Residential,Hospital,Q2,April,Michigan,Detroit,89.29
Residential,Hospital,Q4,May,Oregon,Portland,90.09
Residential,Hospital,Q3,December,Michigan,Detroit,93.56
Residential,Hospital,Q2,October,Oregon,Portland,94.52
Residential,Hospital,Q4,August,Michigan,Detroit,95.9
Residential,Hospital,Q3,September,Oregon,Portland,96.39
Residential,Hospital,Q2,July,Michigan,Detroit,93.93
Residential,Hospital,Q4,April,Oregon,Portland,96.84
Residential,Hospital,Q3,May,Michigan,Detroit,6.64
