Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2020,Beverage,Coffee,516.31
Import,2020,Cereals,Juice,925.18
Import,2020,Dairy,Corn,287.49
Import,2020,Beverage,Seeds,160.05
Import,2020,Cereals,Milk,38.06
Import,2020,Dairy,Yoghurt,811.72
Import,2020,Beverage,Cream,557.04
Import,2020,Cereals,Coffee,304.07
Import,2020,Dairy,Juice,436.54
Import,2017,Beverage,Coffee,53.7
Import,2017,Cereals,Juice,52.68
Import,2017,Dairy,Corn,55.56
Import,2017,Beverage,Seeds,824.3
Import,2017,Cereals,Milk,700.49
Import,2017,Dairy,Yoghurt,961.04
Import,2017,Beverage,Cream,195.36
Import,2017,Cereals,Coffee,329.86
Import,2017,Dairy,Juice,592.08
Import,2020,Beverage,Coffee,465.62
Import,2020,Cereals,Juice,83.39
Import,2020,Dairy,Corn,727.46
Import,2020,Beverage,Seeds,217.84
Import,2020,Cereals,Milk,866.83
Import,2020,Dairy,Yoghurt,356.08
Import,2020,Beverage,Cream,503.66
Import,2020,Cereals,Coffee,505.33
Import,2020,Dairy,Juice,254.52
