Characteristic,Intensity,2015_Michigan_Columbia,2015_Michigan_Washington,2019_Maryland_Aberdeen,2019_Maryland_Columbus,2019_Maryland_Flint,2021_Georgia_Albany,2021_Georgia_Baltimore,2021_Georgia_Port Huron
Maximum,,23.60,17.88,27.56,12.09,21.44,5.67,24.68,18.51
,  ,23.60,17.88,27.56,12.09,21.44,5.67,24.68,18.51
Humidity,,23.60,17.88,27.26,11.70,21.40,5.67,23.32,18.51
,  High,9.52,13.61,27.26,5.82,20.51,2.41,19.07,5.21
,  Medium,23.60,13.94,24.69,4.11,18.90,1.05,19.27,15.75
,  Storm,15.90,17.88,27.23,11.70,21.40,5.67,23.32,18.51
Wind,,15.51,17.65,27.56,12.09,21.44,5.51,24.68,17.77
,  Breeze,15.51,17.65,21.78,12.09,3.56,5.51,24.68,5.87
,  Calm,11.91,16.54,27.56,10.75,21.44,4.82,17.87,5.78
,  Low,6.68,14.95,26.62,6.56,20.90,2.66,19.75,17.77
