Polluted element,Type of pollution,California_Chicago,California_San Francisco,Illinois_Champaign,Illinois_Minneapolis,Minnesota_Hastings,Minnesota_Los-Angeles,Minnesota_Springfield
Air,,60.16,-56.92,-80.94,28.13,8.85,-23.36,63.65
,  Light,52.41,-59.97,-83.55,24.77,5.11,-31.87,96.74
,  Solid Waste,60.83,-56.09,-79.66,30.51,8.77,-24.20,-3.78
,  Surface water,67.24,-54.69,-79.62,29.12,12.66,-14.00,97.98
Soil,,58.12,-57.92,-81.73,26.06,7.94,-25.92,62.98
,  Noise,50.76,-59.69,-84.25,24.74,6.18,-32.62,95.95
,  Oxygen-depletion,65.80,-56.82,-80.41,27.13,10.83,-18.86,97.42
,  Urban Activities,57.81,-57.25,-80.52,26.30,6.82,-26.27,-4.43
Water,,64.77,-53.92,-78.78,29.51,10.77,-21.83,-1.76
,  Chemical,60.55,-56.90,-82.62,27.02,9.29,-30.89,97.14
,  Groundwater,69.80,-49.11,-77.02,29.22,12.25,-14.64,-98.87
,  Thermal,63.98,-55.76,-76.71,32.28,10.77,-19.96,-3.54
Average,,61.02,-56.25,-80.48,27.90,9.19,-23.70,41.62
,  ,61.02,-56.25,-80.48,27.90,9.19,-23.70,41.62
