Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2018,Wind,Breeze,3.92
2018,Temperature,Storm,5.71
2018,Humidity,21-30,6.35
2018,Wind,11-20,7.85
2018,Temperature,High,6.12
2018,Humidity,Low,9.18
2018,Wind,Medium,10.72
2018,Temperature,Breeze,7.28
2018,Humidity,Storm,8.36
2020,Wind,Breeze,13.21
2020,Temperature,Storm,14.27
2020,Humidity,21-30,15.78
2020,Wind,11-20,15.36
2020,Temperature,High,17.18
2020,Humidity,Low,14.2
2020,Wind,Medium,19.24
2020,Temperature,Breeze,20.51
2020,Humidity,Storm,20.56
2021,Wind,Breeze,22.53
2021,Temperature,Storm,23.36
2021,Humidity,21-30,16.2
2021,Wind,11-20,25.61
2021,Temperature,High,26.92
2021,Humidity,Low,26.15
2021,Wind,Medium,25.55
2021,Temperature,Breeze,6.02
2021,Humidity,Storm,14.87
