Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Male,2021,Q2,Traffic,Serious,97.04
Male,2021,Q2,Drowning,Serious,98.52
Male,2021,Q2,Fire,Serious,99.71
Male,2019,Q3,Traffic,Serious,65.51
Male,2019,Q3,Drowning,Serious,10.02
Male,2019,Q3,Fire,Serious,43.18
Male,2017,Q2,Traffic,Serious,10.31
Male,2017,Q2,Drowning,Serious,13.45
Male,2017,Q2,Fire,Serious,79.27
Male,2021,Q3,Traffic,Serious,48.82
Male,2021,Q3,Drowning,Serious,47.26
Male,2021,Q3,Fire,Serious,80.65
Male,2019,Q2,Traffic,Serious,19.67
Male,2019,Q2,Drowning,Serious,86.27
Male,2019,Q2,Fire,Serious,57.34
Male,2017,Q3,Traffic,Serious,90.33
Male,2017,Q3,Drowning,Serious,93.65
Male,2017,Q3,Fire,Serious,95.03
