Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Temperature,11-20,1.55
2015,Humidity,31-40,3.98
2015,Wind,Medium,5.36
2015,Temperature,Low,6.25
2015,Humidity,High,7.83
2015,Wind,Storm,7.73
2015,Temperature,Breeze,9.33
2015,Humidity,11-20,10.32
2015,Wind,31-40,10.8
2016,Temperature,11-20,12.43
2016,Humidity,31-40,11.62
2016,Wind,Medium,7.16
2016,Temperature,Low,12.56
2016,Humidity,High,16.69
2016,Wind,Storm,17.63
2016,Temperature,Breeze,11.14
2016,Humidity,11-20,10.13
2016,Wind,31-40,22.98
2020,Temperature,11-20,23.15
2020,Humidity,31-40,23.1
2020,Wind,Medium,23.94
2020,Temperature,Low,26.67
2020,Humidity,High,26.86
2020,Wind,Storm,24.83
2020,Temperature,Breeze,5.98
2020,Humidity,11-20,25.88
2020,Wind,31-40,6.85
