Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Culture,Museum,Q3,September,Illinois,Champaign,2.25
Culture,Museum,Q4,July,Illinois,Springfield,3.31
Culture,Museum,Q1,August,Illinois,Champaign,3.98
Culture,Museum,Q3,November,Illinois,Springfield,6.74
Culture,Museum,Q4,October,Illinois,Champaign,7.01
Culture,Museum,Q1,December,Illinois,Springfield,9.92
Culture,Museum,Q3,February,Illinois,Champaign,10.5
Culture,Museum,Q4,January,Illinois,Springfield,11.93
Culture,Museum,Q1,September,Illinois,Champaign,12.75
Residential,Theatre,Q3,September,Illinois,Champaign,12.31
Residential,Theatre,Q4,July,Illinois,Springfield,16.48
Residential,Theatre,Q1,August,Illinois,Champaign,16.89
Residential,Theatre,Q3,November,Illinois,Springfield,18.65
Residential,Theatre,Q4,October,Illinois,Champaign,19.98
Residential,Theatre,Q1,December,Illinois,Springfield,25.7
Residential,Theatre,Q3,February,Illinois,Champaign,25.87
Residential,Theatre,Q4,January,Illinois,Springfield,25.98
Residential,Theatre,Q1,September,Illinois,Champaign,28.21
Service,Concert,Q3,September,Illinois,Champaign,29.52
Service,Concert,Q4,July,Illinois,Springfield,31.72
Service,Concert,Q1,August,Illinois,Champaign,32.01
Service,Concert,Q3,November,Illinois,Springfield,34.77
Service,Concert,Q4,October,Illinois,Champaign,35.45
Service,Concert,Q1,December,Illinois,Springfield,34.5
Service,Concert,Q3,February,Illinois,Champaign,36.33
Service,Concert,Q4,January,Illinois,Springfield,38.35
Service,Concert,Q1,September,Illinois,Champaign,36.46
Culture,Hotel,Q3,September,Illinois,Champaign,40.57
Culture,Hotel,Q4,July,Illinois,Springfield,40.28
Culture,Hotel,Q1,August,Illinois,Champaign,42.06
Culture,Hotel,Q3,November,Illinois,Springfield,42.08
Culture,Hotel,Q4,October,Illinois,Champaign,43.69
Culture,Hotel,Q1,December,Illinois,Springfield,45.1
Culture,Hotel,Q3,February,Illinois,Champaign,45.64
Culture,Hotel,Q4,January,Illinois,Springfield,45.56
Culture,Hotel,Q1,September,Illinois,Champaign,47.1
Residential,House,Q3,September,Illinois,Champaign,49.32
Residential,House,Q4,July,Illinois,Springfield,45.72
Residential,House,Q1,August,Illinois,Champaign,44.71
Residential,House,Q3,November,Illinois,Springfield,52.61
Residential,House,Q4,October,Illinois,Champaign,53.66
Residential,House,Q1,December,Illinois,Springfield,51.79
Residential,House,Q3,February,Illinois,Champaign,57.17
Residential,House,Q4,January,Illinois,Springfield,59.67
Residential,House,Q1,September,Illinois,Champaign,59.4
Service,Apartment,Q3,September,Illinois,Champaign,59.79
Service,Apartment,Q4,July,Illinois,Springfield,63.36
Service,Apartment,Q1,August,Illinois,Champaign,64.65
Service,Apartment,Q3,November,Illinois,Springfield,65.18
Service,Apartment,Q4,October,Illinois,Champaign,66.35
Service,Apartment,Q1,December,Illinois,Springfield,66.12
Service,Apartment,Q3,February,Illinois,Champaign,68.02
Service,Apartment,Q4,January,Illinois,Springfield,75.08
Service,Apartment,Q1,September,Illinois,Champaign,76.25
Culture,Hospital,Q3,September,Illinois,Champaign,76.01
Culture,Hospital,Q4,July,Illinois,Springfield,78.04
Culture,Hospital,Q1,August,Illinois,Champaign,79.06
Culture,Hospital,Q3,November,Illinois,Springfield,81.77
Culture,Hospital,Q4,October,Illinois,Champaign,82.21
Culture,Hospital,Q1,December,Illinois,Springfield,84.6
Culture,Hospital,Q3,February,Illinois,Champaign,85.06
Culture,Hospital,Q4,January,Illinois,Springfield,86.39
Culture,Hospital,Q1,September,Illinois,Champaign,85.59
Residential,Library,Q3,September,Illinois,Champaign,89.75
Residential,Library,Q4,July,Illinois,Springfield,91.34
Residential,Library,Q1,August,Illinois,Champaign,94.39
Residential,Library,Q3,November,Illinois,Springfield,94.72
Residential,Library,Q4,October,Illinois,Champaign,44.31
Residential,Library,Q1,December,Illinois,Springfield,95.79
Residential,Library,Q3,February,Illinois,Champaign,98.79
Residential,Library,Q4,January,Illinois,Springfield,98.76
Residential,Library,Q1,September,Illinois,Champaign,97.63
