Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2017,Florida,Fort Lauderdale,Wind,Storm,0.6
2017,Florida,Fort Lauderdale,Temperature,Calm,1.06
2017,Florida,Fort Lauderdale,Humidity,0-10,2.15
2017,Florida,Fort Lauderdale,Wind,21-30,3.38
2017,Florida,Fort Lauderdale,Temperature,11-20,2.89
2017,Florida,Fort Lauderdale,Humidity,High,5.59
2017,Florida,Fort Lauderdale,Wind,Medium,3.4
2017,Florida,Fort Lauderdale,Temperature,Storm,7.46
2017,Florida,Fort Lauderdale,Humidity,Calm,8.0
2018,Michigan,Tampa,Wind,Storm,9.02
2018,Michigan,Tampa,Temperature,Calm,7.09
2018,Michigan,Tampa,Humidity,0-10,11.71
2018,Michigan,Tampa,Wind,21-30,12.65
2018,Michigan,Tampa,Temperature,11-20,12.2
2018,Michigan,Tampa,Humidity,High,14.05
2018,Michigan,Tampa,Wind,Medium,15.78
2018,Michigan,Tampa,Temperature,Storm,15.77
2018,Michigan,Tampa,Humidity,Calm,17.54
2020,Florida,Port Huron,Wind,Storm,18.24
2020,Florida,Port Huron,Temperature,Calm,19.49
2020,Florida,Port Huron,Humidity,0-10,18.62
2020,Florida,Port Huron,Wind,21-30,21.97
2020,Florida,Port Huron,Temperature,11-20,22.63
2020,Florida,Port Huron,Humidity,High,23.47
2020,Florida,Port Huron,Wind,Medium,23.62
2020,Florida,Port Huron,Temperature,Storm,25.0
2020,Florida,Port Huron,Humidity,Calm,21.83
2017,Michigan,Flint,Wind,Storm,27.09
2017,Michigan,Flint,Temperature,Calm,27.67
2017,Michigan,Flint,Humidity,0-10,27.72
2017,Michigan,Flint,Wind,21-30,27.47
2017,Michigan,Flint,Temperature,11-20,26.35
2017,Michigan,Flint,Humidity,High,26.78
2017,Michigan,Flint,Wind,Medium,20.46
2017,Michigan,Flint,Temperature,Storm,21.79
2017,Michigan,Flint,Humidity,Calm,22.14
