Quarter,Month,Residential_Administration,Residential_Apartment,Residential_School,Service_House,Service_Library,Minimum
Q1,April,54.78,9.24,84.54,31.33,69.81,9.24
,January,56.50,13.51,93.48,35.55,73.91,13.51
,July,58.62,20.87,96.99,39.03,80.62,20.87
Q2,August,55.03,19.66,92.67,36.04,78.82,19.66
,July,45.19,8.21,84.47,24.64,62.36,8.21
,June,54.73,11.35,91.54,34.03,72.56,11.35
Q3,August,44.77,6.81,83.36,22.61,61.62,6.81
,February,54.52,16.77,94.57,35.87,77.27,16.77
,May,54.59,11.28,91.19,32.63,72.23,11.28
Minimum,,44.77,6.81,83.36,22.61,61.62,6.81
