Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Workshop,Q3,August,0.3
Production,Workshop,Q2,September,1.55
Production,Workshop,Q3,June,5.22
Production,Workshop,Q2,May,6.26
Production,Workshop,Q3,April,10.98
Production,Workshop,Q2,August,11.36
Service,Factory,Q3,August,12.57
Service,Factory,Q2,September,12.27
Service,Factory,Q3,June,10.5
Service,Factory,Q2,May,15.81
Service,Factory,Q3,April,16.26
Service,Factory,Q2,August,16.42
Residential,Administration,Q3,August,19.79
Residential,Administration,Q2,September,20.99
Residential,Administration,Q3,June,21.48
Residential,Administration,Q2,May,21.41
Residential,Administration,Q3,April,26.72
Residential,Administration,Q2,August,26.03
Production,Library,Q3,August,30.26
Production,Library,Q2,September,33.97
Production,Library,Q3,June,39.97
Production,Library,Q2,May,39.32
Production,Library,Q3,April,42.88
Production,Library,Q2,August,44.24
Service,House,Q3,August,48.19
Service,House,Q2,September,55.94
Service,House,Q3,June,57.41
Service,House,Q2,May,59.92
Service,House,Q3,April,60.64
Service,House,Q2,August,62.68
Residential,Hotel,Q3,August,66.31
Residential,Hotel,Q2,September,68.48
Residential,Hotel,Q3,June,70.34
Residential,Hotel,Q2,May,75.94
Residential,Hotel,Q3,April,80.62
Residential,Hotel,Q2,August,83.64
Production,Apartment,Q3,August,84.99
Production,Apartment,Q2,September,86.8
Production,Apartment,Q3,June,90.77
Production,Apartment,Q2,May,96.75
Production,Apartment,Q3,April,97.29
Production,Apartment,Q2,August,98.18
