Polluted element,Type of pollution,Florida_Lenox_2021,Florida_Tampa_2021,Massachusetts_Cambridge_2017,Massachusetts_Fort Lauderdale_2017,Massachusetts_Rochester_2017,Minnesota_Boston_2016,Minnesota_Hastings_2016
Air,Industrial,39.66,-74.40,11.03,98.17,-25.17,66.17,-50.04
,Light,26.95,-96.76,0.54,89.94,-35.23,53.87,-59.31
,Oxygen-depletion,37.14,-86.17,5.90,90.85,-30.46,63.12,-55.62
,Thermal,53.73,-62.39,21.91,-94.61,-9.27,85.36,-41.82
,Urban Activities,45.79,-72.63,15.66,-99.92,-17.50,72.92,-47.68
Soil,Groundwater,31.18,-89.91,3.54,88.55,-33.89,62.96,-57.82
,Light,51.83,-73.28,20.62,-95.13,-15.46,82.61,-43.56
,Oxygen-depletion,55.83,-60.07,26.48,-93.50,-2.51,89.72,-38.71
,Solid Waste,43.40,-72.64,15.48,0.18,-19.04,65.72,-47.93
,Surface water,39.96,-80.80,10.82,95.41,-27.91,64.33,-51.58
Water,Chemical,39.56,-84.23,10.72,95.75,-29.71,64.79,-51.28
,Groundwater,54.05,-61.98,22.75,-93.66,-6.21,88.90,-39.87
,Inferior Irrigation,42.14,-74.89,13.27,99.45,-21.45,66.74,-47.76
,Inorganic Fertilizers,48.66,-70.12,20.61,-96.07,-16.02,76.08,-44.58
,Thermal,28.63,-95.30,-0.81,91.43,-34.99,59.01,-59.52
Average,,42.57,-77.04,13.23,11.79,-21.65,70.82,-49.14
