Characteristic,Intensity,2021_California_Hastings,2021_California_Rochester,2021_California_San Francisco,2022_Minnesota_Malibu,2022_Minnesota_Minneapolis,Maximum
Humidity,,27.99,19.88,9.20,18.92,22.92,27.99
,  31-40,18.45,6.97,7.42,16.41,7.83,18.45
,  Calm,27.99,19.88,9.20,18.92,9.99,27.99
,  Low,17.01,11.27,1.25,13.25,22.92,22.92
Temperature,,27.91,21.06,7.41,20.49,24.96,27.91
,  11-20,23.40,19.34,7.36,17.72,8.72,23.40
,  Low,27.91,21.06,7.41,20.49,10.79,27.91
,  Medium,23.54,15.23,2.41,7.60,24.96,24.96
Wind,,27.81,23.32,12.32,21.61,24.46,27.81
,  0-10,20.83,16.11,6.14,13.67,24.46,24.46
,  Medium,27.81,23.32,12.32,21.61,10.71,27.81
,  Storm,27.43,19.94,9.98,18.76,9.48,27.43
Maximum,,27.99,23.32,12.32,21.61,24.96,27.99
,  ,27.99,23.32,12.32,21.61,24.96,27.99
