Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,Apartment,Q3,July,1.52
Residential,Apartment,Q1,August,2.6
Residential,Apartment,Q3,March,3.93
Residential,Apartment,Q1,February,4.91
Residential,Apartment,Q3,January,5.96
Residential,Apartment,Q1,July,6.45
Service,Hotel,Q3,July,7.17
Service,Hotel,Q1,August,8.96
Service,Hotel,Q3,March,11.01
Service,Hotel,Q1,February,11.86
Service,Hotel,Q3,January,13.7
Service,Hotel,Q1,July,18.23
Culture,House,Q3,July,18.22
Culture,House,Q1,August,21.52
Culture,House,Q3,March,22.21
Culture,House,Q1,February,25.46
Culture,House,Q3,January,26.77
Culture,House,Q1,July,31.18
Residential,Administration,Q3,July,33.84
Residential,Administration,Q1,August,35.88
Residential,Administration,Q3,March,37.36
Residential,Administration,Q1,February,37.82
Residential,Administration,Q3,January,43.74
Residential,Administration,Q1,July,46.33
Service,Library,Q3,July,47.37
Service,Library,Q1,August,48.12
Service,Library,Q3,March,48.91
Service,Library,Q1,February,52.35
Service,Library,Q3,January,52.26
Service,Library,Q1,July,53.53
Culture,Hospital,Q3,July,58.16
Culture,Hospital,Q1,August,58.23
Culture,Hospital,Q3,March,58.31
Culture,Hospital,Q1,February,61.12
Culture,Hospital,Q3,January,61.69
Culture,Hospital,Q1,July,59.34
Residential,Concert,Q3,July,64.21
Residential,Concert,Q1,August,67.17
Residential,Concert,Q3,March,67.3
Residential,Concert,Q1,February,75.53
Residential,Concert,Q3,January,76.96
Residential,Concert,Q1,July,81.59
Service,Museum,Q3,July,82.37
Service,Museum,Q1,August,81.98
Service,Museum,Q3,March,84.93
Service,Museum,Q1,February,89.74
Service,Museum,Q3,January,90.8
Service,Museum,Q1,July,94.36
Culture,Theatre,Q3,July,97.97
Culture,Theatre,Q1,August,98.68
Culture,Theatre,Q3,March,99.33
Culture,Theatre,Q1,February,98.4
Culture,Theatre,Q3,January,98.12
Culture,Theatre,Q1,July,99.5
