Polluted element,Type of pollution,Illinois_Chicago,Illinois_Lenox,Illinois_Reno,Massachusetts_Boulder City,Massachusetts_Cambridge,Massachusetts_Champaign,Nevada_Boston,Nevada_Springfield,Average
Air,Groundwater,-64.60,68.74,-2.29,-25.35,33.76,-86.85,0.61,-52.28,-16.03
,Industrial,-71.62,62.88,-7.49,-39.68,28.15,-89.14,94.43,-57.02,-9.94
,Light,-89.93,50.44,-18.52,-45.38,16.17,-94.31,87.16,-58.75,-19.14
,Oxygen-depletion,-83.51,43.32,-22.99,-49.60,8.59,-97.34,76.70,-61.76,-23.32
Soil,Chemical,-82.72,43.07,-21.06,-49.45,12.26,-96.97,80.94,-60.37,-21.79
,Noise,-79.32,50.67,-14.75,-44.70,17.71,-93.41,90.02,-57.43,-16.40
,Oxygen-depletion,-63.99,75.83,-1.29,-26.17,40.70,-85.37,-99.55,-50.15,-26.25
,Solid Waste,-69.31,64.52,-5.87,-35.27,31.91,-88.57,99.24,-54.39,-7.22
Water,Groundwater,-84.55,42.36,-23.55,-50.39,7.85,-98.82,75.30,-62.66,-24.31
,Inferior Irrigation,-68.90,67.02,-4.25,-26.70,31.30,-88.52,-0.08,-61.28,-18.93
,Thermal,-81.71,45.45,-18.79,-47.34,15.74,-99.09,86.86,-59.12,-19.75
,Urban Activities,-78.08,60.03,-11.26,-42.97,16.58,-98.92,93.98,-56.58,-14.65
