State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Florida,Tampa,Air,Noise,-0.3
Florida,Tampa,Soil,Light,0.43
Florida,Tampa,Water,Urban Activities,1.48
Florida,Tampa,Air,Industrial,8.84
Florida,Tampa,Soil,Inferior Irrigation,11.24
Florida,Tampa,Water,Solid Waste,13.45
Florida,Tampa,Air,Inorganic Fertilizers,14.23
Florida,Tampa,Soil,Oxygen-depletion,13.25
Florida,Tampa,Water,Groundwater,19.99
Florida,Tampa,Air,Noise,25.22
Florida,Tampa,Soil,Light,26.48
Florida,Tampa,Water,Urban Activities,26.12
Florida,Tampa,Air,Industrial,39.58
Florida,Tampa,Soil,Inferior Irrigation,94.33
Florida,Tampa,Water,Solid Waste,-85.37
Georgia,Fort Lauderdale,Air,Noise,-85.83
Georgia,Fort Lauderdale,Soil,Light,-84.88
Georgia,Fort Lauderdale,Water,Urban Activities,-82.31
Georgia,Fort Lauderdale,Air,Industrial,-81.08
Georgia,Fort Lauderdale,Soil,Inferior Irrigation,-81.21
Georgia,Fort Lauderdale,Water,Solid Waste,48.05
Georgia,Fort Lauderdale,Air,Inorganic Fertilizers,50.98
Georgia,Fort Lauderdale,Soil,Oxygen-depletion,51.0
Georgia,Fort Lauderdale,Water,Groundwater,-77.17
Georgia,Fort Lauderdale,Air,Noise,-75.53
Georgia,Fort Lauderdale,Soil,Light,-74.2
Georgia,Fort Lauderdale,Water,Urban Activities,-80.64
Georgia,Fort Lauderdale,Air,Industrial,56.41
Georgia,Fort Lauderdale,Soil,Inferior Irrigation,56.81
Georgia,Fort Lauderdale,Water,Solid Waste,-72.15
Florida,Washington,Air,Noise,-69.31
Florida,Washington,Soil,Light,-39.59
Florida,Washington,Water,Urban Activities,62.46
Florida,Washington,Air,Industrial,-64.41
Florida,Washington,Soil,Inferior Irrigation,67.73
Florida,Washington,Water,Solid Waste,68.99
Florida,Washington,Air,Inorganic Fertilizers,-37.12
Florida,Washington,Soil,Oxygen-depletion,-37.74
Florida,Washington,Water,Groundwater,72.14
Florida,Washington,Air,Noise,-56.62
Florida,Washington,Soil,Light,-55.65
Florida,Washington,Water,Urban Activities,-53.15
Florida,Washington,Air,Industrial,-52.26
Florida,Washington,Soil,Inferior Irrigation,72.68
Florida,Washington,Water,Solid Waste,91.35
Georgia,Albany,Air,Noise,79.6
Georgia,Albany,Soil,Light,-49.96
Georgia,Albany,Water,Urban Activities,81.06
Georgia,Albany,Air,Industrial,85.68
Georgia,Albany,Soil,Inferior Irrigation,-39.44
Georgia,Albany,Water,Solid Waste,-38.9
Georgia,Albany,Air,Inorganic Fertilizers,-38.95
Georgia,Albany,Soil,Oxygen-depletion,92.09
Georgia,Albany,Water,Groundwater,-35.54
Georgia,Albany,Air,Noise,-34.93
Georgia,Albany,Soil,Light,90.68
Georgia,Albany,Water,Urban Activities,96.39
Georgia,Albany,Air,Industrial,-32.28
Georgia,Albany,Soil,Inferior Irrigation,98.31
Georgia,Albany,Water,Solid Waste,-29.15
Florida,Columbus,Air,Noise,99.18
Florida,Columbus,Soil,Light,99.45
Florida,Columbus,Water,Urban Activities,-32.25
Florida,Columbus,Air,Industrial,-25.58
Florida,Columbus,Soil,Inferior Irrigation,-24.19
Florida,Columbus,Water,Solid Waste,-28.87
Florida,Columbus,Air,Inorganic Fertilizers,-19.22
Florida,Columbus,Soil,Oxygen-depletion,-17.26
Florida,Columbus,Water,Groundwater,-16.46
Florida,Columbus,Air,Noise,-16.93
Florida,Columbus,Soil,Light,-14.02
Florida,Columbus,Water,Urban Activities,-13.87
Florida,Columbus,Air,Industrial,-10.85
Florida,Columbus,Soil,Inferior Irrigation,-9.19
Florida,Columbus,Water,Solid Waste,-8.08
