Quarter,Month,Culture_Apartment,Culture_Theatre,Production_Concert,Production_House,Production_Workshop,Residential_Factory,Residential_Hotel,Residential_Museum
Q3,,20.31,0.03,76.39,41.07,2.24,8.28,51.39,86.23
,  November,28.77,67.56,81.18,44.17,5.81,14.42,57.03,93.30
,  October,39.63,71.44,83.59,46.35,7.58,17.36,60.99,95.97
,  September,20.31,0.03,76.39,41.07,2.24,8.28,51.39,86.23
Q4,,28.66,64.17,77.17,43.13,4.45,14.58,56.90,86.63
,  December,35.92,68.06,82.68,43.13,5.16,15.84,59.82,95.94
,  July,28.66,64.17,77.17,43.67,4.45,14.58,56.90,86.63
,  September,40.52,71.16,85.61,48.63,8.06,20.83,61.24,97.42
Minimum,,20.31,0.03,76.39,41.07,2.24,8.28,51.39,86.23
,  ,20.31,0.03,76.39,41.07,2.24,8.28,51.39,86.23
