Polluted element,Type of pollution,Illinois_Cambridge,Illinois_Chicago,Illinois_Lenox,Massachusetts_Boston,Massachusetts_Champaign
Air,,-9.41,10.11,-12.15,-56.31,-92.52
,  Groundwater,-33.52,3.72,-77.37,-56.98,-94.59
,  Solid Waste,-30.24,13.21,54.49,-54.01,-90.83
,  Thermal,35.53,13.41,-13.57,-57.94,-92.15
Soil,,20.04,-3.91,12.69,-32.13,-67.20
,  Inferior Irrigation,-16.74,24.85,-70.28,-54.73,-85.80
,  Noise,-20.56,-47.35,54.99,13.32,-24.61
,  Urban Activities,97.43,10.76,53.36,-54.98,-91.18
Water,,-3.26,11.60,-74.95,-34.31,-68.96
,  Industrial,-19.38,15.66,-71.74,-56.73,-86.98
,  Light,42.13,13.70,-76.38,9.40,-27.08
,  Surface water,-32.54,5.45,-76.73,-55.62,-92.81
