Polluted element,Type of pollution,Illinois_Champaign,Illinois_Minneapolis,Illinois_Springfield,Minnesota_Chicago,Minnesota_Hastings,Minnesota_Rochester,Average
Air,Inferior Irrigation,51.63,85.51,17.34,-98.51,-55.74,-25.33,-4.18
,Oxygen-depletion,-10.09,-39.84,15.79,-91.40,-43.00,45.11,-20.57
,Thermal,59.57,-37.95,20.01,-88.80,77.56,-20.51,1.65
Soil,Chemical,-8.70,-40.19,13.27,-28.52,9.26,-19.95,-12.47
,Light,56.64,-38.08,19.23,-87.32,-53.23,-21.13,-20.65
,Urban Activities,-79.29,86.50,16.73,30.63,-56.02,99.57,16.35
Water,Groundwater,-9.61,21.97,11.52,35.19,7.85,41.39,18.05
,Noise,53.58,-45.21,16.94,-88.37,-54.29,-24.37,-23.62
,Surface water,49.12,-45.19,15.06,-98.66,71.28,-30.71,-6.52
Average,,18.09,-5.83,16.21,-57.31,-10.70,4.90,-5.77
