Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Workshop,Q1,January,2.73
Production,Workshop,Q2,February,4.74
Production,Workshop,Q3,May,5.32
Production,Workshop,Q1,June,6.93
Production,Workshop,Q2,April,4.5
Production,Workshop,Q3,July,8.25
Production,Workshop,Q1,August,9.24
Production,Workshop,Q2,September,11.76
Production,Workshop,Q3,January,13.46
Service,Factory,Q1,January,21.76
Service,Factory,Q2,February,23.83
Service,Factory,Q3,May,24.39
Service,Factory,Q1,June,25.87
Service,Factory,Q2,April,23.67
Service,Factory,Q3,July,23.07
Service,Factory,Q1,August,28.81
Service,Factory,Q2,September,29.68
Service,Factory,Q3,January,32.54
Production,Library,Q1,January,35.69
Production,Library,Q2,February,39.34
Production,Library,Q3,May,40.67
Production,Library,Q1,June,42.54
Production,Library,Q2,April,51.43
Production,Library,Q3,July,52.18
Production,Library,Q1,August,54.15
Production,Library,Q2,September,55.27
Production,Library,Q3,January,58.95
Service,School,Q1,January,60.97
Service,School,Q2,February,61.82
Service,School,Q3,May,64.98
Service,School,Q1,June,83.91
Service,School,Q2,April,84.74
Service,School,Q3,July,89.35
Service,School,Q1,August,97.27
Service,School,Q2,September,98.15
Service,School,Q3,January,98.14
