Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Residential,Apartment,Q3,August,Minnesota,Minneapolis,8.62
Residential,Apartment,Q4,September,Minnesota,Minneapolis,16.06
Residential,Apartment,Q3,July,Minnesota,Minneapolis,23.37
Residential,Apartment,Q4,October,Minnesota,Minneapolis,27.74
Residential,Apartment,Q3,November,Minnesota,Minneapolis,30.68
Residential,Apartment,Q4,August,Minnesota,Minneapolis,30.89
Production,House,Q3,August,Minnesota,Minneapolis,35.93
Production,House,Q4,September,Minnesota,Minneapolis,38.63
Production,House,Q3,July,Minnesota,Minneapolis,44.83
Production,House,Q4,October,Minnesota,Minneapolis,45.11
Production,House,Q3,November,Minnesota,Minneapolis,44.48
Production,House,Q4,August,Minnesota,Minneapolis,48.09
Residential,Factory,Q3,August,Minnesota,Minneapolis,50.54
Residential,Factory,Q4,September,Minnesota,Minneapolis,51.43
Residential,Factory,Q3,July,Minnesota,Minneapolis,56.88
Residential,Factory,Q4,October,Minnesota,Minneapolis,57.88
Residential,Factory,Q3,November,Minnesota,Minneapolis,57.33
Residential,Factory,Q4,August,Minnesota,Minneapolis,59.16
Production,Workshop,Q3,August,Minnesota,Minneapolis,60.47
Production,Workshop,Q4,September,Minnesota,Minneapolis,72.57
Production,Workshop,Q3,July,Minnesota,Minneapolis,82.73
Production,Workshop,Q4,October,Minnesota,Minneapolis,83.34
Production,Workshop,Q3,November,Minnesota,Minneapolis,82.04
Production,Workshop,Q4,August,Minnesota,Minneapolis,92.67
