Characteristic,Intensity,2015_Florida_Aberdeen,2015_Florida_Baltimore,2015_Florida_Fort Lauderdale,2022_Maryland_Columbia,2022_Maryland_Tampa
Humidity,,27.13,14.58,5.28,22.77,11.81
,  Breeze,14.18,11.59,5.28,22.77,11.81
,  High,27.12,14.58,3.71,20.01,9.45
,  Low,27.13,13.77,1.13,19.14,3.77
Wind,,27.77,16.99,6.88,22.89,9.79
,  Calm,9.93,16.99,4.78,22.89,9.08
,  Low,2.29,10.27,6.88,22.51,9.79
,  Medium,27.77,14.47,2.39,19.45,8.72
Maximum,,27.77,16.99,6.88,22.89,11.81
,  ,27.77,16.99,6.88,22.89,11.81
