Quarter,Month,Production_Hotel,Production_Workshop,Residential_Apartment,Residential_Factory,Residential_Hospital,Service_House,Service_Library,Minimum
Q1,,17.82,63.13,4.48,44.40,87.89,34.89,79.14,4.48
,  December,21.96,70.22,14.58,54.99,87.89,37.10,82.01,14.58
,  June,17.82,63.13,4.48,44.40,88.43,34.89,79.14,4.48
Q2,,16.60,63.02,1.22,42.54,87.47,31.73,74.59,1.22
,  January,20.08,66.62,11.02,53.80,88.85,37.80,81.29,11.02
,  May,16.60,63.02,1.22,42.54,87.47,31.73,74.59,1.22
Q4,,18.24,66.54,10.53,44.14,89.66,36.46,79.58,10.53
,  February,18.24,66.54,10.53,44.14,89.66,36.46,79.58,10.53
,  November,20.58,71.87,15.97,54.01,96.40,42.22,85.37,15.97
Minimum,,16.60,63.02,1.22,42.54,87.47,31.73,74.59,1.22
,  ,16.60,63.02,1.22,42.54,87.47,31.73,74.59,1.22
