Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Export,2015,Q3,Dairy,Cheese,514.65
Export,2015,Q3,Cereals,Milk,642.03
Export,2015,Q3,Dairy,Rice,140.94
Export,2015,Q3,Cereals,Seeds,653.51
Export,2015,Q3,Dairy,Oats,914.28
Export,2015,Q3,Cereals,Cheese,917.48
Export,2022,Q3,Dairy,Cheese,792.22
Export,2022,Q3,Cereals,Milk,298.72
Export,2022,Q3,Dairy,Rice,429.93
Export,2022,Q3,Cereals,Seeds,559.4
Export,2022,Q3,Dairy,Oats,176.69
Export,2022,Q3,Cereals,Cheese,437.82
Export,2015,Q3,Dairy,Cheese,55.91
Export,2015,Q3,Cereals,Milk,697.8
Export,2015,Q3,Dairy,Rice,57.94
Export,2015,Q3,Cereals,Seeds,699.69
Export,2015,Q3,Dairy,Oats,212.65
Export,2015,Q3,Cereals,Cheese,343.43
Export,2022,Q3,Dairy,Cheese,983.19
Export,2022,Q3,Cereals,Milk,488.74
Export,2022,Q3,Dairy,Rice,619.2
Export,2022,Q3,Cereals,Seeds,495.2
Export,2022,Q3,Dairy,Oats,368.22
Export,2022,Q3,Cereals,Cheese,638.09
