Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2018,Wind,Storm,1.64
2018,Temperature,Calm,4.53
2018,Humidity,Breeze,7.65
2018,Wind,31-40,27.14
2018,Temperature,11-20,13.9
2018,Humidity,0-10,15.52
2018,Wind,High,16.8
2018,Temperature,Medium,16.6
2018,Humidity,Storm,18.25
2019,Wind,Storm,16.56
2019,Temperature,Calm,20.33
2019,Humidity,Breeze,15.29
2019,Wind,31-40,16.02
2019,Temperature,11-20,23.52
2019,Humidity,0-10,24.93
2019,Wind,High,25.63
2019,Temperature,Medium,26.02
2019,Humidity,Storm,27.52
