Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2019,Georgia,Columbus,Wind,Breeze,1.05
2019,Georgia,Columbus,Temperature,Calm,1.1
2019,Georgia,Columbus,Wind,11-20,4.64
2019,Georgia,Columbus,Temperature,31-40,5.49
2019,Georgia,Columbus,Wind,21-30,6.03
2019,Georgia,Columbus,Temperature,Breeze,5.63
2015,Nevada,Albany,Wind,Breeze,8.05
2015,Nevada,Albany,Temperature,Calm,9.82
2015,Nevada,Albany,Wind,11-20,10.51
2015,Nevada,Albany,Temperature,31-40,9.01
2015,Nevada,Albany,Wind,21-30,12.25
2015,Nevada,Albany,Temperature,Breeze,11.27
2022,Georgia,Washington,Wind,Breeze,8.27
2022,Georgia,Washington,Temperature,Calm,15.23
2022,Georgia,Washington,Wind,11-20,10.96
2022,Georgia,Washington,Temperature,31-40,17.7
2022,Georgia,Washington,Wind,21-30,18.78
2022,Georgia,Washington,Temperature,Breeze,15.45
2019,Nevada,Reno,Wind,Breeze,20.17
2019,Nevada,Reno,Temperature,Calm,21.72
2019,Nevada,Reno,Wind,11-20,21.39
2019,Nevada,Reno,Temperature,31-40,23.04
2019,Nevada,Reno,Wind,21-30,23.67
2019,Nevada,Reno,Temperature,Breeze,24.8
2015,Georgia,Boulder City,Wind,Breeze,25.34
2015,Georgia,Boulder City,Temperature,Calm,26.5
2015,Georgia,Boulder City,Wind,11-20,27.42
2015,Georgia,Boulder City,Temperature,31-40,27.8
2015,Georgia,Boulder City,Wind,21-30,7.27
2015,Georgia,Boulder City,Temperature,Breeze,11.05
2022,Nevada,Las Vegas,Wind,Breeze,12.74
2022,Nevada,Las Vegas,Temperature,Calm,14.94
2022,Nevada,Las Vegas,Wind,11-20,15.27
2022,Nevada,Las Vegas,Temperature,31-40,4.21
2022,Nevada,Las Vegas,Wind,21-30,18.06
2022,Nevada,Las Vegas,Temperature,Breeze,18.73
