Quarter,Month,Culture_Concert,Culture_Library,Culture_Theatre,Service_Hospital,Service_Museum,Service_School
Q1,,78.81,14.90,50.39,1.59,65.39,29.52
,  April,98.52,26.99,62.34,8.48,75.55,44.14
,  December,78.81,14.90,50.39,1.59,65.39,29.52
,  February,83.66,23.69,58.27,2.29,71.72,39.82
Q2,,81.73,15.51,51.57,2.92,66.51,32.20
,  January,85.81,24.51,60.04,6.56,71.04,40.11
,  November,81.73,15.51,51.57,2.92,66.51,32.20
,  October,99.34,26.14,63.82,12.98,75.62,44.40
Q4,,77.43,12.48,48.65,0.20,62.62,27.76
,  June,97.74,25.26,61.14,7.39,73.94,42.26
,  March,83.32,17.95,55.38,2.28,65.71,36.72
,  October,77.43,12.48,48.65,0.20,62.62,27.76
