Characteristic,Intensity,2019_Maryland_Columbia,2019_Maryland_Flint,2022_Michigan_Baltimore,2022_Michigan_Detroit,2022_Michigan_Port Huron
Humidity,,28.00,15.56,22.97,4.75,23.51
,  31-40,28.00,15.56,22.97,4.75,23.51
,  High,25.67,13.41,18.17,4.30,22.34
,  Storm,27.78,6.26,11.93,0.76,19.16
Temperature,,22.55,17.55,23.60,5.44,26.65
,  11-20,0.11,14.39,21.78,5.18,17.56
,  Breeze,22.55,6.07,13.61,2.36,19.12
,  Calm,8.04,17.55,23.60,5.44,26.65
Wind,,26.47,15.92,22.60,6.86,24.78
,  0-10,26.04,15.92,22.60,6.86,24.78
,  Calm,26.47,9.37,9.27,0.99,17.03
,  Low,21.55,12.79,16.62,3.73,18.58
