Quarter,Month,State,City,Culture_Concert,Culture_Hotel,Culture_Museum,Residential_Apartment,Residential_House,Residential_Theatre,Minimum
Q1,June,Minnesota,Hastings,67.44,24.62,95.94,6.15,43.24,81.55,6.15
,November,Georgia,Albany,60.44,17.59,93.95,3.36,37.22,78.19,3.36
,October,Georgia,Albany,72.33,29.95,99.87,4.62,53.39,90.36,4.62
Q2,February,Minnesota,Hastings,61.94,18.51,94.69,3.25,39.08,79.00,3.25
,May,Georgia,Albany,70.32,26.70,95.91,7.48,46.59,83.47,7.48
,November,Minnesota,Hastings,73.33,35.78,98.39,10.11,53.13,90.68,10.11
Q4,April,Minnesota,Hastings,71.05,27.27,98.53,7.07,50.87,85.24,7.07
,January,Georgia,Albany,65.04,18.20,94.77,5.02,43.64,80.12,5.02
,October,Minnesota,Hastings,53.91,5.14,91.05,0.67,36.13,77.11,0.67
Minimum,,,,53.91,5.14,91.05,0.67,36.13,77.11,0.67
