Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Administration,Q1,February,1.77
Service,Administration,Q4,March,2.34
Service,Administration,Q3,January,3.69
Service,Administration,Q1,November,3.37
Service,Administration,Q4,October,2.15
Service,Administration,Q3,July,6.57
Service,Administration,Q1,September,7.95
Service,Administration,Q4,February,11.15
Service,Administration,Q3,March,13.0
Production,Hospital,Q1,February,14.95
Production,Hospital,Q4,March,22.69
Production,Hospital,Q3,January,23.7
Production,Hospital,Q1,November,22.54
Production,Hospital,Q4,October,23.58
Production,Hospital,Q3,July,23.69
Production,Hospital,Q1,September,30.3
Production,Hospital,Q4,February,31.34
Production,Hospital,Q3,March,30.28
Culture,Factory,Q1,February,34.6
Culture,Factory,Q4,March,35.59
Culture,Factory,Q3,January,34.92
Culture,Factory,Q1,November,37.87
Culture,Factory,Q4,October,38.84
Culture,Factory,Q3,July,37.9
Culture,Factory,Q1,September,40.14
Culture,Factory,Q4,February,40.7
Culture,Factory,Q3,March,42.58
Service,Workshop,Q1,February,42.26
Service,Workshop,Q4,March,41.78
Service,Workshop,Q3,January,40.26
Service,Workshop,Q1,November,40.75
Service,Workshop,Q4,October,46.04
Service,Workshop,Q3,July,49.99
Service,Workshop,Q1,September,49.14
Service,Workshop,Q4,February,49.68
Service,Workshop,Q3,March,54.71
Production,Museum,Q1,February,59.85
Production,Museum,Q4,March,60.19
Production,Museum,Q3,January,63.0
Production,Museum,Q1,November,0.22
Production,Museum,Q4,October,64.57
Production,Museum,Q3,July,66.01
Production,Museum,Q1,September,66.64
Production,Museum,Q4,February,68.2
Production,Museum,Q3,March,71.89
Culture,Theatre,Q1,February,72.72
Culture,Theatre,Q4,March,74.65
Culture,Theatre,Q3,January,75.54
Culture,Theatre,Q1,November,76.21
Culture,Theatre,Q4,October,77.04
Culture,Theatre,Q3,July,80.36
Culture,Theatre,Q1,September,81.0
Culture,Theatre,Q4,February,81.28
Culture,Theatre,Q3,March,81.33
Service,Concert,Q1,February,84.61
Service,Concert,Q4,March,87.34
Service,Concert,Q3,January,88.19
Service,Concert,Q1,November,89.77
Service,Concert,Q4,October,90.86
Service,Concert,Q3,July,91.33
Service,Concert,Q1,September,95.41
Service,Concert,Q4,February,95.74
Service,Concert,Q3,March,96.29
