Polluted element,Type of pollution,Florida_Detroit_2018,Florida_Port Huron_2018,Florida_Tampa_2018,Michigan_Flint_2021,Michigan_Fort Lauderdale_2021
Air,,-5.79,-18.18,-14.34,21.05,-26.69
,  Inferior Irrigation,-29.80,65.53,9.02,85.58,-81.06
,  Light,37.54,-63.05,43.75,17.76,-44.27
,  Surface water,-25.12,-57.02,-95.78,-40.19,45.28
Soil,,-23.23,47.09,-40.66,-14.48,28.46
,  Noise,-18.30,3.52,-42.59,40.35,-14.07
,  Oxygen-depletion,-22.60,72.56,-95.30,-39.36,50.97
,  Solid Waste,-28.81,65.18,15.90,-44.42,48.49
Water,,-21.74,-37.53,28.70,-42.56,9.04
,  Chemical,-27.32,-60.82,27.93,-41.37,-79.78
,  Groundwater,-21.46,-55.77,33.79,-45.33,54.82
,  Industrial,-16.44,4.00,24.38,-40.99,52.08
