Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Culture,Museum,Q3,August,Oregon,Redmond,2.6
Culture,Museum,Q2,July,Oregon,Redmond,4.39
Culture,Museum,Q3,May,Oregon,Redmond,7.56
Culture,Museum,Q2,June,Oregon,Redmond,8.94
Production,Theatre,Q3,August,Oregon,Redmond,11.24
Production,Theatre,Q2,July,Oregon,Redmond,16.39
Production,Theatre,Q3,May,Oregon,Redmond,22.22
Production,Theatre,Q2,June,Oregon,Redmond,27.16
Culture,Concert,Q3,August,Oregon,Redmond,28.17
Culture,Concert,Q2,July,Oregon,Redmond,36.94
Culture,Concert,Q3,May,Oregon,Redmond,37.75
Culture,Concert,Q2,June,Oregon,Redmond,38.36
Production,Workshop,Q3,August,Oregon,Redmond,40.35
Production,Workshop,Q2,July,Oregon,Redmond,44.46
Production,Workshop,Q3,May,Oregon,Redmond,53.01
Production,Workshop,Q2,June,Oregon,Redmond,54.15
Culture,Factory,Q3,August,Oregon,Redmond,70.0
Culture,Factory,Q2,July,Oregon,Redmond,77.29
Culture,Factory,Q3,May,Oregon,Redmond,82.98
Culture,Factory,Q2,June,Oregon,Redmond,89.13
