Characteristic,Intensity,2015_Florida_Albany,2015_Florida_Fort Lauderdale,2016_Georgia_Aberdeen,2016_Georgia_Columbus,2016_Georgia_Tampa,2022_Maryland_Baltimore,2022_Maryland_Washington,Maximum
Humidity,,24.86,16.18,27.94,2.58,26.11,27.42,14.94,27.94
,  11-20,20.46,14.70,25.66,2.58,0.01,27.42,11.90,27.42
,  Breeze,24.86,16.18,27.94,2.30,26.11,4.66,14.94,27.94
,  Medium,18.31,0.09,27.76,0.83,5.94,7.99,9.00,27.76
Temperature,,21.04,16.95,28.00,7.25,23.34,12.69,13.11,28.00
,  21-30,21.04,2.37,26.72,4.13,3.82,5.52,13.11,26.72
,  High,16.85,13.14,28.00,1.81,18.34,1.94,9.44,28.00
,  Medium,20.79,16.95,25.02,7.25,23.34,12.69,12.32,25.02
Wind,,25.33,24.24,24.98,8.92,24.17,26.14,14.99,26.14
,  31-40,20.86,24.24,23.70,2.23,7.96,8.87,11.64,24.24
,  Calm,20.76,15.97,24.98,4.93,3.31,26.14,14.99,26.14
,  High,25.33,17.55,3.84,8.92,24.17,12.93,10.49,25.33
