Quarter,Month,Culture_House,Culture_Theatre,Residential_Concert,Residential_Hotel,Residential_Museum,State,City
Minimum,,16.21,58.49,76.21,0.79,39.22,,
,  ,16.21,58.49,76.21,0.79,39.22,,
Q2,,16.21,58.49,76.21,0.79,39.22,,
,  August,27.51,73.39,95.40,8.89,48.80,Maryland,Champaign
,  June,16.21,58.49,76.21,0.79,39.22,Maryland,Columbia
,  November,23.23,66.02,80.14,2.92,43.65,Illinois,Chicago
Q3,,19.19,64.41,80.35,2.12,43.58,,
,  April,36.87,75.24,97.17,14.68,55.77,Maryland,Columbia
,  December,19.19,64.41,80.35,2.12,43.58,Maryland,Champaign
,  July,24.46,72.95,94.29,6.66,47.15,Illinois,Aberdeen
Q4,,17.40,62.96,79.31,2.62,40.34,,
,  April,17.40,62.96,79.31,2.62,40.34,Illinois,Aberdeen
,  June,33.27,72.82,96.41,7.52,48.42,Illinois,Chicago
,  September,24.48,68.14,91.66,6.33,44.28,Maryland,Columbia
