Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2015,Q1,Fire,Slight,32.8
Female,2015,Q1,Drowning,Serious,97.69
Female,2015,Q1,Traffic,Slight,97.03
Female,2022,Q1,Fire,Slight,99.26
Female,2022,Q1,Drowning,Serious,99.56
Female,2022,Q1,Traffic,Slight,40.04
Female,2015,Q1,Fire,Slight,11.72
Female,2015,Q1,Drowning,Serious,46.68
Female,2015,Q1,Traffic,Slight,19.7
Female,2022,Q1,Fire,Slight,86.51
Female,2022,Q1,Drowning,Serious,23.3
Female,2022,Q1,Traffic,Slight,94.17
