Polluted element,Type of pollution,California_Los-Angeles_2018,California_Port Huron_2018,California_Portland_2018,Michigan_Berkeley_2019,Michigan_Detroit_2019,Michigan_Redmond_2019,Oregon_Flint_2016,Oregon_Salem_2016,Average
Air,,-80.59,41.99,-11.19,17.86,11.67,-39.89,75.01,-62.94,-6.01
,  Chemical,-74.91,50.02,-7.21,-98.17,15.37,-33.76,78.63,-58.06,-16.01
,  Industrial,-84.77,33.88,-13.92,95.21,9.70,-43.97,70.44,-71.51,-0.62
,  Inferior Irrigation,-70.03,57.04,-4.70,-96.35,17.55,-26.82,88.79,-52.05,-10.82
,  Light,-80.01,41.98,-12.24,97.56,12.91,-43.52,74.88,-62.15,3.68
,  Solid Waste,-93.24,27.04,-17.90,91.04,2.80,-51.39,62.29,-70.95,-6.29
Soil,,-81.69,39.28,-13.42,17.66,10.02,-40.81,72.99,-63.88,-7.48
,  Groundwater,-76.20,50.91,-8.23,-99.15,12.79,-35.25,78.80,-58.80,-16.89
,  Inorganic Fertilizers,-85.74,29.17,-15.47,94.51,8.37,-45.22,68.60,-68.81,-1.82
,  Solid Waste,-71.77,56.14,-12.52,-96.62,18.26,-31.79,82.93,-59.77,-14.39
,  Thermal,-81.31,35.13,-11.90,97.58,9.39,-41.39,74.25,-62.53,2.40
,  Urban Activities,-93.44,25.03,-18.99,91.96,1.31,-50.39,60.36,-69.50,-6.71
Water,,-79.14,43.84,-12.99,-1.23,13.70,-36.77,77.37,-60.55,-6.97
,  Inferior Irrigation,-89.55,29.61,-16.88,93.61,7.59,-47.61,67.87,-68.34,-2.96
,  Inorganic Fertilizers,-69.48,57.52,-12.00,-93.54,19.09,-23.78,90.98,-52.18,-10.42
,  Noise,-85.64,35.89,-12.11,91.48,10.83,-42.29,72.04,-63.20,0.88
,  Surface water,-76.52,43.06,-12.08,-0.09,13.55,-39.01,74.16,-59.56,-7.06
,  Urban Activities,-74.53,53.10,-11.87,-97.59,17.43,-31.15,81.78,-59.47,-15.29
