Category,Item,Export_2015,Export_2018,Export_2020,Average
Beverage,,762.88,597.38,347.31,569.19
,  Butter,831.32,820.23,292.90,648.15
,  Cheese,476.24,141.26,442.84,353.45
,  Coffee,981.09,830.65,306.20,705.98
Cereals,,675.25,485.40,514.78,558.48
,  Cheese,958.69,752.65,164.28,625.21
,  Cream,475.03,266.67,948.86,563.52
,  Rice,592.03,436.87,431.20,486.70
Dairy,,459.13,460.17,427.05,448.79
,  Cream,445.72,495.51,34.64,325.29
,  Soybeans,842.22,565.06,427.91,611.73
,  Tea,89.46,319.94,818.61,409.34
Average,,632.42,514.32,429.72,525.48
,  ,632.42,514.32,429.72,525.48
