Polluted element,Type of pollution,California_Flint_2016,California_Fort Lauderdale_2020,California_San Francisco_2015,Florida_Malibu_2020,Florida_Tampa_2018,Michigan_Los-Angeles_2018,Michigan_Port Huron_2015,Average
Soil,Chemical,-69.86,-25.31,4.15,53.09,-40.50,-92.44,77.33,-13.36
,Industrial,71.69,-13.05,30.84,59.61,-32.39,-82.91,85.20,17.00
,Oxygen-depletion,-58.63,-5.62,31.94,-67.00,-31.04,48.75,-40.74,-17.48
,Surface water,67.37,-17.86,14.20,-73.88,-35.85,-89.43,77.41,-8.29
,Urban Activities,-59.27,-14.87,23.59,56.06,96.68,-85.78,82.06,14.07
Water,Groundwater,-63.61,-19.82,13.94,-75.04,93.67,-92.11,-50.29,-27.61
,Inferior Irrigation,73.11,-6.05,-98.25,-69.56,96.45,47.89,86.03,18.52
,Inorganic Fertilizers,-59.32,-14.44,16.70,53.54,-32.86,-89.63,81.74,-6.32
,Oxygen-depletion,55.94,-31.32,1.01,-79.06,88.69,-99.44,-52.51,-16.67
,Solid Waste,71.37,-12.95,29.78,58.41,-30.82,43.69,-47.46,16.00
Average,,2.88,-16.13,6.79,-8.38,17.20,-49.14,29.88,-2.41
