Quarter,Month,Culture_Hotel,Culture_House,Culture_Theatre,Residential_Apartment,Residential_Museum,Minimum,State,City
Q1,,75.94,43.12,9.40,60.01,37.65,9.40,,
,  January,92.15,49.86,14.48,67.49,41.36,14.48,Illinois,Chicago
,  June,98.29,56.22,17.53,69.77,44.50,17.53,Illinois,Champaign
,  October,75.94,43.12,9.40,60.01,37.65,9.40,Illinois,Champaign
Q2,,78.28,48.27,10.75,60.58,39.74,10.75,,
,  December,78.28,48.27,10.75,60.58,39.74,10.75,Illinois,Chicago
,  February,94.00,52.71,14.37,68.81,40.75,14.37,Illinois,Champaign
,  May,99.42,58.50,20.63,66.88,45.95,20.63,Illinois,Chicago
Q4,,68.04,45.22,6.27,59.95,36.19,6.27,,
,  April,96.89,52.60,13.11,66.86,43.76,13.11,Illinois,Chicago
,  March,83.07,47.70,13.23,66.65,40.23,13.23,Illinois,Champaign
,  November,68.04,45.22,6.27,59.95,36.19,6.27,Illinois,Chicago
Minimum,,68.04,43.12,6.27,59.95,36.19,6.27,,
,  ,68.04,43.12,6.27,59.95,36.19,6.27,,
