Quarter,Month,Culture_Concert,Culture_Hotel,Residential_House,Residential_Museum,Residential_Theatre,Minimum,State,City
Q1,,63.00,20.25,0.18,48.14,83.73,0.18,,
,  January,63.00,20.25,0.18,48.14,83.73,0.18,Oregon,Portland
,  May,75.79,42.79,9.58,59.57,90.54,9.58,Oregon,Portland
,  November,68.20,29.84,3.00,52.07,86.74,3.00,Oregon,Portland
Q2,,66.69,28.44,3.97,48.20,84.76,3.97,,
,  April,70.81,38.13,5.13,52.99,90.37,5.13,Oregon,Portland
,  December,66.69,28.44,3.97,48.20,84.76,3.97,Oregon,Portland
,  March,82.40,47.56,10.71,59.46,93.06,10.71,Oregon,Portland
Q4,,64.08,22.76,2.76,48.65,83.15,2.76,,
,  January,80.33,42.19,10.91,60.91,91.15,10.91,Oregon,Portland
,  June,69.63,35.59,5.03,52.00,83.15,5.03,Oregon,Portland
,  March,64.08,22.76,2.76,48.65,84.29,2.76,Oregon,Portland
Minimum,,63.00,20.25,0.18,48.14,83.15,0.18,,
,  ,63.00,20.25,0.18,48.14,83.15,0.18,,
