Polluted element,Type of pollution,Georgia_Columbus_2017,Georgia_Las Vegas_2016,Michigan_Flint_2016,Michigan_Reno_2017,Nevada_Albany_2016,Nevada_Detroit_2017
Air,Chemical,3.01,-61.82,99.45,-78.17,-96.37,-42.47
,Inorganic Fertilizers,29.29,81.93,-10.73,61.63,-90.82,-28.95
,Light,13.07,-52.20,-21.34,-73.29,35.61,-37.46
,Urban Activities,20.25,-48.52,-13.93,-71.33,-90.31,-31.28
Soil,Groundwater,-98.85,84.85,-3.33,63.86,47.14,-27.97
,Inferior Irrigation,24.96,-47.17,-12.89,57.27,-91.51,-30.58
,Noise,15.26,-50.51,-18.00,-72.28,-94.73,-39.12
,Surface water,5.27,-56.90,-24.21,-78.05,-96.17,89.47
Water,Groundwater,1.90,-63.46,-30.20,48.34,-98.41,-48.55
,Oxygen-depletion,12.50,76.21,-23.88,52.37,-97.83,89.39
,Solid Waste,27.98,-46.58,-10.00,60.42,31.71,99.64
,Thermal,17.51,-50.32,-18.98,-71.20,37.42,-35.41
Average,,6.01,-19.54,-7.34,-8.37,-50.36,-3.61
