Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Export,2019,Cereals,Seeds,387.32
Export,2019,Dairy,Corn,260.82
Export,2019,Meat,Rice,262.06
Export,2019,Cereals,Cheese,647.4
Export,2019,Dairy,Butter,137.17
Export,2019,Meat,Yoghurt,397.52
Export,2019,Cereals,Chicken,398.46
Export,2019,Dairy,Lamb,532.84
Export,2019,Meat,Beef,277.56
Export,2020,Cereals,Seeds,790.64
Export,2020,Dairy,Corn,25.49
Export,2020,Meat,Rice,543.33
Export,2020,Cereals,Cheese,31.47
Export,2020,Dairy,Butter,34.55
Export,2020,Meat,Yoghurt,677.53
Export,2020,Cereals,Chicken,42.95
Export,2020,Dairy,Lamb,939.26
Export,2020,Meat,Beef,45.92
Export,2017,Cereals,Seeds,941.96
Export,2017,Dairy,Corn,176.65
Export,2017,Meat,Rice,305.16
Export,2017,Cereals,Cheese,818.09
Export,2017,Dairy,Butter,436.55
Export,2017,Meat,Yoghurt,703.06
Export,2017,Cereals,Chicken,580.93
Export,2017,Dairy,Lamb,837.91
Export,2017,Meat,Beef,715.08
Export,2019,Cereals,Seeds,587.97
Export,2019,Dairy,Corn,978.57
Export,2019,Meat,Rice,979.18
Export,2019,Cereals,Cheese,598.87
Export,2019,Dairy,Butter,347.85
Export,2019,Meat,Yoghurt,487.92
Export,2019,Cereals,Chicken,498.78
Export,2019,Dairy,Lamb,627.57
Export,2019,Meat,Beef,251.51
