Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Wind,Breeze,0.58
2022,Humidity,Calm,1.62
2022,Temperature,Storm,4.88
2022,Wind,Low,4.14
2022,Humidity,Medium,6.89
2022,Temperature,11-20,7.46
2022,Wind,21-30,6.28
2022,Humidity,0-10,10.03
2022,Temperature,Breeze,15.37
2019,Wind,Breeze,16.56
2019,Humidity,Calm,15.26
2019,Temperature,Storm,18.9
2019,Wind,Low,15.11
2019,Humidity,Medium,20.09
2019,Temperature,11-20,21.43
2019,Wind,21-30,23.59
2019,Humidity,0-10,25.63
2019,Temperature,Breeze,25.08
